State,Num Tweets,Num France,Num Belgium,Num England,Num Croatia,Fra Frac,Bel Frac,Eng Frac,Cro Frac,F Frac Err,B Frac Err,E Frac Err,C Frac Err
Kansas,15,2,4,2,7,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.4666666666666667,0.08834825603545199,0.11529526499651102,0.08767975459948757,0.12345786006384236
Kentucky,27,1,8,10,8,0.037037037037037035,0.2962962962962963,0.37037037037037035,0.2962962962962963,0.036336483152586065,0.0855687085980949,0.09061154444843803,0.08690777804550467
Louisiana,16,4,2,5,5,0.25,0.125,0.3125,0.3125,0.10672757086885339,0.08237125846368702,0.11704808963103339,0.11704808963103339
Massachusetts,70,7,17,26,20,0.1,0.24285714285714285,0.37142857142857144,0.2857142857142857,0.036327975881305936,0.051897181546379324,0.05928419292076018,0.055972457094072975
Maryland,48,4,9,20,15,0.08333333333333333,0.1875,0.4166666666666667,0.3125,0.039992917183013586,0.056178670696380655,0.07234664427989322,0.06880136771762456
Maine,7,3,0,3,1,0.42857142857142855,0.0,0.42857142857142855,0.14285714285714285,0.1755467138376805,0.0,0.18910545216003527,0.13293480058972545
Michigan,39,5,8,16,10,0.1282051282051282,0.20512820512820512,0.41025641025641024,0.2564102564102564,0.05340739795790622,0.06398977073678529,0.07884860332386058,0.07109851258722641
Minnesota,43,5,6,13,19,0.11627906976744186,0.13953488372093023,0.3023255813953488,0.4418604651162791,0.04928970094669623,0.053312649658792156,0.07237665261325249,0.0775465233655549
Missouri,32,2,7,8,15,0.0625,0.21875,0.25,0.46875,0.042980207676321124,0.07362458365378453,0.07738853174809797,0.08644516921901209
Mississippi,5,1,1,1,2,0.2,0.2,0.2,0.4,0.17964881242162128,0.17964881242162128,0.17964881242162128,0.22042131988080343
Montana,6,1,1,2,2,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.1512910507950051,0.1512910507950051,0.19381692295275946,0.19381692295275946
North Carolina,70,5,8,31,26,0.07142857142857142,0.11428571428571428,0.44285714285714284,0.37142857142857144,0.031029827633561668,0.03842391127432206,0.06347412539277834,0.06202217064542848
North Dakota,2,0,0,1,1,0.0,0.0,0.5,0.5,0.0,0.0,0.35495715234377234,0.35495715234377234
Nebraska,21,2,4,7,8,0.09523809523809523,0.19047619047619047,0.3333333333333333,0.38095238095238093,0.06393227869591986,0.08499449566948872,0.10303058353507931,0.10565698469137337
New Hampshire,8,1,2,3,2,0.125,0.25,0.375,0.25,0.1160950426154812,0.1501263240726342,0.1689936656880686,0.15242642621232885
New Jersey,77,6,20,33,18,0.07792207792207792,0.2597402597402597,0.42857142857142855,0.23376623376623376,0.030869245195487473,0.05021729943118694,0.05723643467216598,0.050239929469894855
New Mexico,7,0,4,0,3,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0,0.18957800999646313,0.0,0.16758314796728668
Nevada,38,5,8,12,13,0.13157894736842105,0.21052631578947367,0.3157894736842105,0.34210526315789475,0.05507003256841107,0.06621142351835645,0.07624293366048346,0.07760761324804316
New York,231,21,44,92,74,0.09090909090909091,0.19047619047619047,0.39826839826839827,0.3203463203463203,0.020222611532366885,0.028891679508339343,0.03907022494565014,0.03723135577296044
Ohio,59,3,8,27,21,0.05084745762711865,0.13559322033898305,0.4576271186440678,0.3559322033898305,0.028700469442067757,0.0447485348053578,0.06787222730850276,0.0658206808778947
Oklahoma,20,1,7,5,7,0.05,0.35,0.25,0.35,0.048793711871708355,0.10524104024925515,0.0951204076740817,0.10265929355846776
